study,split,model,n,pre_mean,pre_median,pre_std,pre_min,pre_max,rec_mean,rec_median,rec_std,rec_min,rec_max
1,test_a01,yolov8m,64,0.8996999999999999,0.8996,0.016258892303824653,0.8472,0.9229,0.8880750000000001,0.895,0.025228218849450878,0.7982,0.911
1,test_a01,yolov8m,128,0.9068400000000001,0.9116,0.012504331880971206,0.8772,0.9233,0.8979050000000001,0.90185,0.01690862361730189,0.8591,0.9285
1,test_a01,yolov8m,256,0.92088,0.9202999999999999,0.007437005622666923,0.9034,0.9306,0.91529,0.91455,0.008332555051375916,0.8971,0.9278
1,test_a01,yolov8m,512,0.927725,0.92745,0.008548307003821221,0.9102,0.9402,0.9230050000000001,0.92545,0.00831444367857587,0.9089,0.9331
1,test_a01,yolov8m,1024,0.92936,0.9314,0.01123192817490907,0.8895,0.9421,0.92971,0.9296500000000001,0.007545992313804721,0.9158,0.9414
1,test_a01,yolov8n,64,0.879645,0.8835500000000001,0.018966465558703193,0.8354,0.9061,0.87784,0.88245,0.020043463299854944,0.8449,0.9302
1,test_a01,yolov8n,128,0.9106799999999999,0.9108,0.009441933343503225,0.8954,0.9294,0.9044650000000001,0.906,0.009676573719419908,0.8818,0.9221
1,test_a01,yolov8n,256,0.92323,0.92395,0.008651443445125823,0.9045,0.9405,0.91055,0.9109499999999999,0.008912941507481679,0.887,0.925
1,test_a01,yolov8n,512,0.928005,0.9299999999999999,0.011641779344919279,0.9012,0.9519,0.9264699999999999,0.9275,0.006863488448610568,0.91,0.9354
1,test_a01,yolov8n,1024,0.930955,0.9322,0.008204714626680367,0.9091,0.9419,0.93108,0.92935,0.008024147765864072,0.9176,0.9452
1,test_a02,yolov8m,64,0.780075,0.78205,0.03785015991066827,0.6599,0.8224,0.822845,0.8262,0.017161446233989297,0.786,0.8476
1,test_a02,yolov8m,128,0.79452,0.79575,0.03154196202554702,0.7275,0.8587,0.83389,0.83675,0.026117626635141097,0.7674,0.8758
1,test_a02,yolov8m,256,0.8025800000000001,0.7983,0.026680400849194243,0.7643,0.8694,0.8445750000000001,0.8403499999999999,0.022312467013096672,0.8037,0.883
1,test_a02,yolov8m,512,0.8180400000000001,0.8127,0.021019850267381977,0.789,0.8702,0.8619199999999999,0.8607,0.01748095505038797,0.827,0.9012
1,test_a02,yolov8m,1024,0.8401500000000001,0.8382499999999999,0.018132044910367358,0.8145,0.8841,0.8686149999999999,0.8706,0.016368045731016016,0.8376,0.8878
1,test_a02,yolov8n,64,0.76013,0.7585999999999999,0.03529823463604167,0.6842,0.818,0.7758200000000001,0.7679499999999999,0.034797785773477675,0.7156,0.8302
1,test_a02,yolov8n,128,0.802665,0.8120499999999999,0.0416600562826514,0.7055,0.8798,0.8220449999999999,0.82675,0.028409773614763382,0.7654,0.8638
1,test_a02,yolov8n,256,0.815995,0.81185,0.027298225795442246,0.7733,0.8548,0.8368399999999999,0.8400000000000001,0.022913898333590168,0.7928,0.8807
1,test_a02,yolov8n,512,0.823145,0.8242499999999999,0.022584425816780992,0.7704,0.8689,0.85171,0.8491,0.018543033874292483,0.8065,0.8825
1,test_a02,yolov8n,1024,0.8354699999999999,0.8349,0.02184517530738826,0.7791,0.8769,0.856695,0.85955,0.02024241183362559,0.8191,0.8957
1,test_a03,yolov8m,64,0.8525449999999999,0.84995,0.021209269944506542,0.8174,0.8948,0.792595,0.79265,0.020961982504675333,0.7456,0.8333
1,test_a03,yolov8m,128,0.8662000000000001,0.8675999999999999,0.02672887262079988,0.8082,0.9133,0.7950999999999999,0.7953,0.027663447286798405,0.7515,0.8333
