model,n_samples,split,strategy,map_mean,map_std,f1_mean,f1_std,pre_mean,pre_std,rec_mean,rec_std
yolo11m,256,test_a01,baseline,0.934022,0.007839494,0.920566,0.007436057,0.922736,0.011589505,0.9186,0.012484783
yolo11m,256,test_a01,grid_search,0.917622,0.019833751,0.891938,0.029806155,0.898154,0.035907433,0.886848,0.037106247
yolo11m,256,test_a02,baseline,0.821244,0.03183199,0.825706,0.027916226,0.83972,0.038819987,0.81331,0.032395435
yolo11m,256,test_a02,grid_search,0.752687755,0.051255242,0.756542857,0.047551652,0.776357143,0.066946782,0.743444898,0.065956908
yolo11m,256,test_a03,baseline,0.833936735,0.020533405,0.820936735,0.01894242,0.855379592,0.022375247,0.789589796,0.024432801
yolo11m,256,test_a03,grid_search,0.820367347,0.04057199,0.822722449,0.037209605,0.833846939,0.044641755,0.812328571,0.034101808
yolo11m,256,test_b01,baseline,0.730073469,0.034876274,0.722773469,0.027596526,0.73185102,0.045177032,0.715726531,0.029136759
yolo11m,256,test_b01,grid_search,0.652144898,0.123367279,0.6869,0.09016182,0.668253061,0.121801016,0.713473469,0.061180184
yolo11m,256,test_b02,baseline,0.672197959,0.097502817,0.669985714,0.072979786,0.669853061,0.113624948,0.680314286,0.062575215
yolo11m,256,test_b02,grid_search,0.637667347,0.110355919,0.650583673,0.085274716,0.634685714,0.122412234,0.680755102,0.079272673
yolo11m,256,test_b03,baseline,0.60445102,0.110622764,0.522953061,0.12206528,0.59985102,0.248015025,0.522042857,0.103301137
yolo11m,256,test_b03,grid_search,0.401744898,0.154311263,0.346006122,0.129965615,0.327120408,0.179320365,0.439134694,0.135392149
yolo11m,1024,test_a01,baseline,0.955585106,0.004481022,0.939512766,0.005124053,0.940329787,0.010766553,0.938829787,0.007436891
yolo11m,1024,test_a01,grid_search,0.939082609,0.011889665,0.904943478,0.024111469,0.905476087,0.032137816,0.905280435,0.030061704
yolo11m,1024,test_a02,baseline,0.875993478,0.014653697,0.870578261,0.012656573,0.877117391,0.019471361,0.864576087,0.018022051
yolo11m,1024,test_a02,grid_search,0.826428889,0.024971444,0.820848889,0.021199042,0.836235556,0.037477734,0.808304444,0.038327049
yolo11m,1024,test_a03,baseline,0.895315556,0.013244741,0.875251111,0.011613093,0.892706667,0.014114554,0.858737778,0.017727999
yolo11m,1024,test_a03,grid_search,0.892382222,0.023210708,0.879371111,0.019163609,0.890931111,0.022353898,0.868482222,0.0241565
yolo11m,1024,test_b01,baseline,0.828455556,0.017673279,0.804833333,0.013729481,0.811977778,0.027548667,0.79868,0.019066553
yolo11m,1024,test_b01,grid_search,0.739844444,0.089247937,0.752877778,0.068953225,0.738206667,0.091546462,0.770802222,0.051170968
yolo11m,1024,test_b02,baseline,0.712553333,0.070152812,0.694455556,0.052655465,0.660755556,0.081976489,0.739106667,0.05068383
yolo11m,1024,test_b02,grid_search,0.711625,0.077456269,0.687747727,0.062745557,0.666668182,0.106740557,0.721438636,0.053918255
yolo11m,1024,test_b03,baseline,0.711968182,0.071109015,0.606531818,0.09117873,0.634440909,0.204033216,0.63,0.085258207
yolo11m,1024,test_b03,grid_search,0.491074419,0.108733434,0.416725581,0.094352208,0.388990698,0.141516645,0.498293023,0.115970781
yolo11n,64,test_a01,baseline,0.888237736,0.01704149,0.881760377,0.013551105,0.888141509,0.016916849,0.875696226,0.016990687
yolo11n,64,test_a01,grid_search,0.83099434,0.055325145,0.817926415,0.053186895,0.817332075,0.071121188,0.820679245,0.04527355
yolo11n,64,test_a02,baseline,0.723456604,0.056776632,0.745569811,0.044733788,0.754962264,0.054830039,0.737811321,0.04554148
yolo11n,64,test_a02,grid_search,0.579459615,0.102360325,0.622886538,0.083492052,0.6022,0.102918098,0.651384615,0.07446837
yolo11n,64,test_a03,baseline,0.671907692,0.055182698,0.679817308,0.047260487,0.742853846,0.043543976,0.628261538,0.058212535
yolo11n,64,test_a03,grid_search,0.535848077,0.100580838,0.593228846,0.086473893,0.595180769,0.099531319,0.595534615,0.084798511
