model,n_params,is_finetune,thread,iters,time_per_epoch,max_mem,metric,strategy,time_hptuning,time_inference,divider,overlap,map5095,map50,precision,recall,f1,n_all,n_fn,n_fp,cat
yolo11m,20.1,1_NOFT,5,2,11.869,22670.67,count,grid_search,4.08,73.45,4.0,0.5,0.4147,0.7073,0.7726,0.6744,0.7202,82115,26740,16297,A_unfinetuned
yolo11m,20.1,2_FT,5,2,9.148,18089.114,baseline,baseline,0.0,3.33,0.0,0.0,0.0001,0.0005,0.001,0.0,0.0001,82115,82111,4049,B_finetuned_unsupervised
yolo11m,20.1,2_FT,5,2,9.148,18089.114,count,bo_exploration,4.3,51.07,3.0,0.5,0.3934,0.6947,0.7825,0.654,0.7125,82115,28414,14926,B_finetuned_unsupervised
yolo11m,20.1,2_FT,5,2,9.148,18089.114,count,bo_exploitation,3.19,50.99,3.0,0.57,0.3934,0.6947,0.7825,0.654,0.7125,82115,28414,14926,B_finetuned_unsupervised
yolo11m,20.1,2_FT,5,2,9.148,18089.114,count,grid_search,3.95,69.29,4.0,0.5,0.4075,0.7152,0.7964,0.6745,0.7304,82115,26730,14161,B_finetuned_unsupervised
yolo11m,20.1,2_FT,5,2,9.148,18089.114,map,bo_exploration,10.28,26.27,3.0,-0.12,0.398,0.6892,0.7657,0.6539,0.7054,82115,28419,16428,C_finetuned_supervised
yolo11m,20.1,2_FT,5,2,9.148,18089.114,map,bo_exploitation,9.74,26.31,3.0,0.06,0.398,0.6892,0.7657,0.6539,0.7054,82115,28419,16428,C_finetuned_supervised
yolo11m,20.1,2_FT,5,2,9.148,18089.114,map,grid_search,12.32,28.04,4.0,0.0,0.4422,0.7344,0.8016,0.6917,0.7426,82115,25317,14058,C_finetuned_supervised
yolo11n,2.6,1_NOFT,5,3,4.477,6921.675,baseline,baseline,0.0,3.48,0.0,0.0,0.0,0.0001,0.0003,0.0,0.0,82257,82256,3604,A_unfinetuned
yolo11n,2.6,1_NOFT,5,3,4.477,6921.675,count,bo_exploration,4.26,74.89,4.0,0.62,0.4075,0.7125,0.7716,0.7008,0.7345,82257,24609,17064,A_unfinetuned
yolo11n,2.6,1_NOFT,5,3,4.477,6921.675,count,bo_exploitation,2.5,33.9,3.0,0.22,0.3813,0.6867,0.7755,0.6511,0.7079,82257,28701,15502,A_unfinetuned
yolo11n,2.6,1_NOFT,5,3,4.477,6921.675,count,grid_search,4.16,74.84,4.0,0.5,0.4075,0.7125,0.7716,0.7008,0.7345,82257,24609,17064,A_unfinetuned
yolo11n,2.6,2_FT,5,3,3.131,6950.088,baseline,baseline,0.0,2.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82257,82257,685,B_finetuned_unsupervised
yolo11n,2.6,2_FT,5,3,3.131,6950.088,count,bo_exploration,2.16,65.44,4.0,0.62,0.4468,0.7947,0.8509,0.7227,0.7816,82257,22808,10418,B_finetuned_unsupervised
yolo11n,2.6,2_FT,5,3,3.131,6950.088,count,bo_exploitation,3.2,32.2,2.0,0.61,0.2744,0.6055,0.7932,0.4497,0.574,82257,45267,9641,B_finetuned_unsupervised
yolo11n,2.6,2_FT,5,3,3.131,6950.088,count,grid_search,3.54,65.43,4.0,0.5,0.4468,0.7947,0.8509,0.7227,0.7816,82257,22808,10418,B_finetuned_unsupervised
yolo11m,20.1,1_NOFT,5,3,11.629,22708.043,baseline,baseline,0.0,4.11,0.0,0.0,0.0,0.0002,0.0003,0.0,0.0,82257,82255,7745,A_unfinetuned
yolo11m,20.1,1_NOFT,5,3,11.629,22708.043,count,bo_exploration,2.31,30.21,4.0,0.09,0.3887,0.658,0.7346,0.6635,0.6972,82257,27680,19720,A_unfinetuned
yolo11m,20.1,1_NOFT,5,3,11.629,22708.043,count,bo_exploitation,2.79,54.18,3.0,0.4,0.3656,0.6396,0.7485,0.6305,0.6845,82257,30393,17425,A_unfinetuned
yolo11m,20.1,1_NOFT,5,3,11.629,22708.043,count,grid_search,4.36,74.23,4.0,0.5,0.3793,0.6482,0.7375,0.6589,0.696,82257,28054,19296,A_unfinetuned
yolo11m,20.1,2_FT,5,3,8.88,19799.961,baseline,baseline,0.0,3.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82257,82257,2054,B_finetuned_unsupervised
yolo11m,20.1,2_FT,5,3,8.88,19799.961,count,bo_exploration,3.7,50.94,3.0,0.62,0.4312,0.755,0.8325,0.6855,0.7519,82257,25867,11346,B_finetuned_unsupervised
yolo11m,20.1,2_FT,5,3,8.88,19799.961,count,bo_exploitation,3.96,68.96,4.0,0.39,0.4453,0.7712,0.8398,0.7077,0.7682,82257,24040,11102,B_finetuned_unsupervised
yolo11m,20.1,2_FT,5,3,8.88,19799.961,count,grid_search,3.98,69.6,4.0,0.5,0.4453,0.7712,0.8398,0.7077,0.7682,82257,24040,11102,B_finetuned_unsupervised
yolo11m,20.1,2_FT,5,3,8.88,19799.961,map,bo_exploration,3.39,5.82,1.0,0.08,0.0025,0.0148,0.0296,0.0031,0.0056,82257,82002,8346,C_finetuned_supervised
yolo11m,20.1,2_FT,5,3,8.88,19799.961,map,bo_exploitation,7.64,29.71,2.0,0.23,0.2995,0.619,0.7795,0.4873,0.5997,82257,42174,11338,C_finetuned_supervised
yolo11m,20.1,2_FT,5,3,8.88,19799.961,map,grid_search,11.22,28.0,4.0,0.0,0.4732,0.7869,0.8445,0.7204,0.7775,82257,22999,10908,C_finetuned_supervised
rtdetr-l,45.0,1_NOFT,5,1,36.976,20643.365,baseline,baseline,0.0,4.82,0.0,0.0,0.0,0.0001,0.0004,0.0,0.0,82257,82255,4884,A_unfinetuned
rtdetr-l,45.0,1_NOFT,5,1,36.976,20643.365,count,bo_exploration,5.96,111.83,4.0,0.62,0.3271,0.6147,0.7399,0.624,0.677,82257,30930,18041,A_unfinetuned
rtdetr-l,45.0,1_NOFT,5,1,36.976,20643.365,count,bo_exploitation,8.25,112.22,4.0,0.52,0.3271,0.6147,0.7399,0.624,0.677,82257,30930,18041,A_unfinetuned
rtdetr-l,45.0,1_NOFT,5,1,36.976,20643.365,count,grid_search,5.86,112.33,4.0,0.5,0.3271,0.6147,0.7399,0.624,0.677,82257,30930,18041,A_unfinetuned
rtdetr-l,45.0,2_FT,5,1,32.952,21019.178,baseline,baseline,0.0,5.04,0.0,0.0,0.0001,0.0009,0.0018,0.0001,0.0002,82257,82248,4906,B_finetuned_unsupervised
rtdetr-l,45.0,2_FT,5,1,32.952,21019.178,count,bo_exploration,4.22,59.93,4.0,0.3,0.4238,0.7193,0.811,0.6777,0.7384,82257,26512,12994,B_finetuned_unsupervised
rtdetr-l,45.0,2_FT,5,1,32.952,21019.178,count,bo_exploitation,2.26,43.58,2.0,0.42,0.2377,0.5469,0.7003,0.4657,0.5594,82257,43948,16392,B_finetuned_unsupervised
rtdetr-l,45.0,2_FT,5,1,32.952,21019.178,count,grid_search,6.65,110.75,4.0,0.5,0.4247,0.7257,0.8181,0.6874,0.747,82257,25717,12575,B_finetuned_unsupervised
rtdetr-l,45.0,2_FT,5,1,32.952,21019.178,map,bo_exploration,11.02,43.1,4.0,0.0,0.4324,0.7289,0.8093,0.6869,0.7431,82257,25752,13312,C_finetuned_supervised
rtdetr-l,45.0,2_FT,5,1,32.952,21019.178,map,bo_exploitation,13.23,70.96,3.0,0.62,0.3896,0.6999,0.7969,0.6542,0.7186,82257,28441,13716,C_finetuned_supervised
rtdetr-l,45.0,2_FT,5,1,32.952,21019.178,map,grid_search,15.04,44.06,4.0,0.0,0.4324,0.7289,0.8093,0.6869,0.7431,82257,25752,13312,C_finetuned_supervised
yolo11n,2.6,1_NOFT,5,4,4.482,6910.209,baseline,baseline,0.0,3.14,0.0,0.0,0.0,0.0003,0.0007,0.0,0.0,82188,82186,2990,A_unfinetuned
yolo11n,2.6,1_NOFT,5,4,4.482,6910.209,count,bo_exploration,3.22,52.95,3.0,0.39,0.3634,0.7046,0.7856,0.651,0.712,82188,28681,14599,A_unfinetuned
yolo11n,2.6,1_NOFT,5,4,4.482,6910.209,count,bo_exploitation,2.47,39.77,4.0,0.14,0.4401,0.7507,0.8408,0.6891,0.7574,82188,25551,10724,A_unfinetuned
yolo11n,2.6,1_NOFT,5,4,4.482,6910.209,count,grid_search,3.75,72.89,4.0,0.5,0.4212,0.7437,0.815,0.7014,0.754,82188,24542,13081,A_unfinetuned
yolo11n,2.6,2_FT,5,4,3.172,7631.57,baseline,baseline,0.0,2.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82188,82188,705,B_finetuned_unsupervised
yolo11n,2.6,2_FT,5,4,3.172,7631.57,count,bo_exploration,1.84,47.58,3.0,0.56,0.3902,0.7523,0.8325,0.6685,0.7416,82188,27242,11055,B_finetuned_unsupervised
yolo11n,2.6,2_FT,5,4,3.172,7631.57,count,bo_exploitation,2.16,24.51,3.0,0.02,0.4061,0.7479,0.8462,0.6478,0.7339,82188,28943,9675,B_finetuned_unsupervised
yolo11n,2.6,2_FT,5,4,3.172,7631.57,count,grid_search,3.47,65.59,4.0,0.5,0.4466,0.7941,0.8499,0.7226,0.7811,82188,22801,10489,B_finetuned_unsupervised
yolo11n,2.6,2_FT,5,4,3.172,7631.57,map,bo_exploration,8.69,26.51,4.0,-0.12,0.4868,0.8177,0.8636,0.7428,0.7986,82188,21142,9644,C_finetuned_supervised
yolo11n,2.6,2_FT,5,4,3.172,7631.57,map,bo_exploitation,7.07,24.42,3.0,0.03,0.4061,0.7479,0.8462,0.6478,0.7339,82188,28943,9675,C_finetuned_supervised
yolo11n,2.6,2_FT,5,4,3.172,7631.57,map,grid_search,10.0,26.49,4.0,0.0,0.4868,0.8177,0.8636,0.7428,0.7986,82188,21142,9644,C_finetuned_supervised
yolo11m,20.1,1_NOFT,5,4,10.837,22710.7,baseline,baseline,0.0,3.79,0.0,0.0,0.0001,0.0005,0.001,0.0001,0.0001,82188,82182,5982,A_unfinetuned
yolo11m,20.1,1_NOFT,5,4,10.837,22710.7,count,bo_exploration,3.63,73.61,4.0,0.61,0.4045,0.6733,0.7784,0.6423,0.7038,82188,29398,15028,A_unfinetuned
yolo11m,20.1,1_NOFT,5,4,10.837,22710.7,count,bo_exploitation,2.52,73.66,4.0,0.54,0.4045,0.6733,0.7784,0.6423,0.7038,82188,29398,15028,A_unfinetuned
yolo11m,20.1,1_NOFT,5,4,10.837,22710.7,count,grid_search,3.98,73.51,4.0,0.5,0.4045,0.6733,0.7784,0.6423,0.7038,82188,29398,15028,A_unfinetuned
yolo11m,20.1,2_FT,5,4,8.992,19296.51,baseline,baseline,0.0,3.33,0.0,0.0,0.0001,0.0005,0.001,0.0,0.0001,82188,82184,4061,B_finetuned_unsupervised
yolo11m,20.1,2_FT,5,4,8.992,19296.51,count,bo_exploration,3.18,51.12,3.0,0.62,0.3935,0.6947,0.7826,0.6542,0.7126,82188,28422,14938,B_finetuned_unsupervised
yolo11m,20.1,2_FT,5,4,8.992,19296.51,count,bo_exploitation,2.85,51.21,3.0,0.51,0.3935,0.6947,0.7826,0.6542,0.7126,82188,28422,14938,B_finetuned_unsupervised
yolo11m,20.1,2_FT,5,4,8.992,19296.51,count,grid_search,3.83,69.48,4.0,0.5,0.4079,0.7154,0.7966,0.6748,0.7307,82188,26726,14162,B_finetuned_unsupervised
yolo11m,20.1,2_FT,5,4,8.992,19296.51,map,bo_exploration,8.78,38.14,4.0,0.2,0.4242,0.7192,0.7951,0.6797,0.7329,82188,26324,14400,C_finetuned_supervised
yolo11m,20.1,2_FT,5,4,8.992,19296.51,map,bo_exploitation,11.19,26.23,3.0,-0.09,0.3981,0.6891,0.7656,0.6539,0.7054,82188,28442,16455,C_finetuned_supervised
