model,n_params,is_finetune,thread,iters,time_per_epoch,max_mem,metric,strategy,time_hptuning,time_inference,divider,overlap,map5095,map50,precision,recall,f1,n_all,n_fn,n_fp,cat
yolo11m,20.1,2_FT,1,1,8.989,19423.492,map,bo_exploration,8.6,26.32,3.0,-0.12,0.3979,0.6891,0.766,0.6535,0.7053,82100,28447,16390,C_finetuned_supervised
yolo11m,20.1,2_FT,1,1,8.989,19423.492,map,bo_exploitation,10.75,31.83,3.0,0.32,0.4031,0.6945,0.7757,0.6581,0.7121,82100,28072,15619,C_finetuned_supervised
yolo11m,20.1,2_FT,1,1,8.989,19423.492,map,grid_search,13.2,28.04,4.0,0.0,0.4424,0.7346,0.802,0.6916,0.7427,82100,25318,14021,C_finetuned_supervised
yolo11n,2.6,1_NOFT,1,2,4.648,6912.824,baseline,baseline,0.0,3.17,0.0,0.0,0.0,0.0002,0.0005,0.0,0.0,82458,82457,1867,A_unfinetuned
yolo11n,2.6,1_NOFT,1,2,4.648,6912.824,count,bo_exploration,2.82,51.69,3.0,0.62,0.4016,0.7367,0.8177,0.6694,0.7362,82458,27258,12308,A_unfinetuned
yolo11n,2.6,1_NOFT,1,2,4.648,6912.824,count,bo_exploitation,3.54,51.66,3.0,0.56,0.4016,0.7367,0.8177,0.6694,0.7362,82458,27258,12308,A_unfinetuned
yolo11n,2.6,1_NOFT,1,2,4.648,6912.824,count,grid_search,3.44,69.51,4.0,0.5,0.4437,0.7673,0.8237,0.7187,0.7676,82458,23198,12686,A_unfinetuned
yolo11n,2.6,2_FT,1,2,3.21,7380.669,baseline,baseline,0.0,2.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82458,82458,706,B_finetuned_unsupervised
yolo11n,2.6,2_FT,1,2,3.21,7380.669,count,bo_exploration,4.65,66.48,4.0,0.62,0.4468,0.794,0.8503,0.7224,0.7811,82458,22891,10489,B_finetuned_unsupervised
yolo11n,2.6,2_FT,1,2,3.21,7380.669,count,bo_exploitation,2.46,48.33,3.0,0.62,0.3912,0.7526,0.8331,0.6689,0.742,82458,27301,11052,B_finetuned_unsupervised
yolo11n,2.6,2_FT,1,2,3.21,7380.669,count,grid_search,3.2,66.24,4.0,0.5,0.4468,0.794,0.8503,0.7224,0.7811,82458,22891,10489,B_finetuned_unsupervised
yolo11n,2.6,2_FT,1,2,3.21,7380.669,map,bo_exploration,7.59,48.3,3.0,0.53,0.3912,0.7526,0.8331,0.6689,0.742,82458,27301,11052,C_finetuned_supervised
yolo11n,2.6,2_FT,1,2,3.21,7380.669,map,bo_exploitation,7.03,24.84,3.0,0.02,0.4064,0.7482,0.8466,0.6483,0.7343,82458,29004,9688,C_finetuned_supervised
yolo11n,2.6,2_FT,1,2,3.21,7380.669,map,grid_search,7.09,26.92,4.0,0.0,0.4871,0.8181,0.8643,0.743,0.799,82458,21193,9623,C_finetuned_supervised
yolo11m,20.1,1_NOFT,1,2,11.562,22597.729,baseline,baseline,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82458,82458,3075,A_unfinetuned
yolo11m,20.1,1_NOFT,1,2,11.562,22597.729,count,bo_exploration,3.54,55.95,3.0,0.62,0.3576,0.6998,0.7627,0.6507,0.7022,82458,28805,16696,A_unfinetuned
yolo11m,20.1,1_NOFT,1,2,11.562,22597.729,count,bo_exploitation,3.06,55.97,3.0,0.41,0.3576,0.6998,0.7627,0.6507,0.7022,82458,28805,16696,A_unfinetuned
yolo11m,20.1,1_NOFT,1,2,11.562,22597.729,count,grid_search,3.73,75.84,4.0,0.5,0.408,0.7299,0.8094,0.6796,0.7388,82458,26421,13192,A_unfinetuned
yolo11m,20.1,2_FT,1,2,9.087,19842.333,baseline,baseline,0.0,3.49,0.0,0.0,0.0001,0.0005,0.001,0.0,0.0001,82458,82454,4059,B_finetuned_unsupervised
yolo11m,20.1,2_FT,1,2,9.087,19842.333,count,bo_exploration,3.38,69.73,4.0,0.62,0.4078,0.7157,0.7969,0.675,0.7309,82458,26795,14186,B_finetuned_unsupervised
yolo11m,20.1,2_FT,1,2,9.087,19842.333,count,bo_exploitation,3.31,26.35,3.0,-0.12,0.3985,0.6895,0.766,0.6542,0.7057,82458,28517,16475,B_finetuned_unsupervised
yolo11m,20.1,2_FT,1,2,9.087,19842.333,count,grid_search,3.55,69.28,4.0,0.5,0.4078,0.7157,0.7969,0.675,0.7309,82458,26795,14186,B_finetuned_unsupervised
yolo11m,20.1,2_FT,1,2,9.087,19842.333,map,bo_exploration,5.02,69.12,4.0,0.54,0.4078,0.7157,0.7969,0.675,0.7309,82458,26795,14186,C_finetuned_supervised
yolo11m,20.1,2_FT,1,2,9.087,19842.333,map,bo_exploitation,4.82,31.9,3.0,0.28,0.4037,0.695,0.7758,0.6588,0.7126,82458,28131,15697,C_finetuned_supervised
yolo11m,20.1,2_FT,1,2,9.087,19842.333,map,grid_search,7.96,28.09,4.0,0.0,0.4427,0.735,0.8023,0.6924,0.7433,82458,25368,14070,C_finetuned_supervised
yolo11n,2.6,1_NOFT,1,3,4.533,6837.506,baseline,baseline,0.0,3.04,0.0,0.0,0.0002,0.0012,0.0023,0.0,0.0001,82458,82454,1732,A_unfinetuned
yolo11n,2.6,1_NOFT,1,3,4.533,6837.506,count,bo_exploration,2.02,5.69,1.0,0.36,0.0083,0.0385,0.0765,0.0076,0.0139,82458,81828,7606,A_unfinetuned
yolo11n,2.6,1_NOFT,1,3,4.533,6837.506,count,bo_exploitation,5.34,73.85,4.0,0.62,0.4599,0.7828,0.8566,0.711,0.777,82458,23827,9819,A_unfinetuned
yolo11n,2.6,1_NOFT,1,3,4.533,6837.506,count,grid_search,3.52,73.93,4.0,0.5,0.4599,0.7828,0.8566,0.711,0.777,82458,23827,9819,A_unfinetuned
yolo11n,2.6,2_FT,1,3,3.177,7380.669,baseline,baseline,0.0,2.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82458,82458,706,B_finetuned_unsupervised
yolo11m,20.1,1_NOFT,1,3,11.577,22664.301,baseline,baseline,0.0,3.62,0.0,0.0,0.0001,0.0009,0.0018,0.0001,0.0002,82458,82448,5557,A_unfinetuned
yolo11m,20.1,1_NOFT,1,3,11.577,22664.301,count,bo_exploration,4.0,77.8,4.0,0.62,0.3853,0.669,0.7799,0.6371,0.7013,82458,29927,14822,A_unfinetuned
yolo11m,20.1,1_NOFT,1,3,11.577,22664.301,count,bo_exploitation,2.1,7.1,1.0,0.34,0.006,0.0294,0.0581,0.0113,0.0189,82458,81530,15052,A_unfinetuned
yolo11m,20.1,1_NOFT,1,3,11.577,22664.301,count,grid_search,3.8,77.77,4.0,0.5,0.3853,0.669,0.7799,0.6371,0.7013,82458,29927,14822,A_unfinetuned
yolo11m,20.1,2_FT,1,3,8.966,19822.333,baseline,baseline,0.0,3.38,0.0,0.0,0.0001,0.0005,0.001,0.0,0.0001,82458,82454,4059,B_finetuned_unsupervised
yolo11m,20.1,2_FT,1,3,8.966,19822.333,count,bo_exploration,4.59,50.99,3.0,0.62,0.3937,0.6951,0.7828,0.6544,0.7129,82458,28500,14969,B_finetuned_unsupervised
yolo11m,20.1,2_FT,1,3,8.966,19822.333,count,bo_exploitation,2.13,6.52,1.0,0.19,0.0047,0.0251,0.0498,0.0075,0.013,82458,81841,11761,B_finetuned_unsupervised
yolo11m,20.1,2_FT,1,3,8.966,19822.333,count,grid_search,3.51,68.57,4.0,0.5,0.4078,0.7157,0.7969,0.675,0.7309,82458,26795,14186,B_finetuned_unsupervised
yolo11m,20.1,2_FT,1,3,8.966,19822.333,map,bo_exploration,5.26,29.73,2.0,0.31,0.2852,0.5795,0.7448,0.4816,0.585,82458,42746,13605,C_finetuned_supervised
yolo11m,20.1,2_FT,1,3,8.966,19822.333,map,bo_exploitation,6.71,26.02,3.0,-0.02,0.3985,0.6895,0.766,0.6542,0.7057,82458,28517,16475,C_finetuned_supervised
yolo11m,20.1,2_FT,1,3,8.966,19822.333,map,grid_search,7.88,27.89,4.0,0.0,0.4427,0.735,0.8023,0.6924,0.7433,82458,25368,14070,C_finetuned_supervised
rtdetr-l,45.0,1_NOFT,1,1,19.432,20631.914,baseline,baseline,0.0,4.54,0.0,0.0,0.0,0.0003,0.0008,0.0,0.0001,82458,82454,5000,A_unfinetuned
rtdetr-l,45.0,1_NOFT,1,1,19.432,20631.914,count,bo_exploration,1.41,8.08,1.0,0.46,0.0004,0.0031,0.0061,0.001,0.0017,82458,82378,12955,A_unfinetuned
rtdetr-l,45.0,1_NOFT,1,1,19.432,20631.914,count,bo_exploitation,4.49,70.2,3.0,0.46,0.3105,0.6166,0.737,0.5857,0.6527,82458,34162,17235,A_unfinetuned
rtdetr-l,45.0,1_NOFT,1,1,19.432,20631.914,count,grid_search,5.3,110.52,4.0,0.5,0.3656,0.6665,0.7818,0.6475,0.7083,82458,29068,14904,A_unfinetuned
rtdetr-l,45.0,2_FT,1,1,13.822,21020.887,baseline,baseline,0.0,4.79,0.0,0.0,0.0017,0.0106,0.0212,0.0027,0.0047,82458,82239,10088,B_finetuned_unsupervised
rtdetr-l,45.0,2_FT,1,1,13.822,21020.887,count,bo_exploration,9.68,78.94,3.0,0.62,0.2481,0.511,0.6272,0.533,0.5762,82458,38511,26123,B_finetuned_unsupervised
rtdetr-l,45.0,2_FT,1,1,13.822,21020.887,count,bo_exploitation,2.42,9.49,1.0,0.3,0.0059,0.03,0.0592,0.0137,0.0222,82458,81329,17931,B_finetuned_unsupervised
rtdetr-l,45.0,2_FT,1,1,13.822,21020.887,count,grid_search,5.77,121.41,4.0,0.5,0.298,0.5604,0.6972,0.5746,0.63,82458,35079,20580,B_finetuned_unsupervised
rtdetr-l,45.0,2_FT,1,1,13.822,21020.887,map,bo_exploration,6.86,46.89,4.0,-0.12,0.3242,0.5864,0.7043,0.5971,0.6463,82458,33225,20670,C_finetuned_supervised
rtdetr-l,45.0,2_FT,1,1,13.822,21020.887,map,bo_exploitation,7.28,46.79,4.0,-0.06,0.3242,0.5864,0.7043,0.5971,0.6463,82458,33225,20670,C_finetuned_supervised
rtdetr-l,45.0,2_FT,1,1,13.822,21020.887,map,grid_search,11.11,46.9,4.0,0.0,0.3242,0.5864,0.7043,0.5971,0.6463,82458,33225,20670,C_finetuned_supervised
yolo11n,2.6,1_NOFT,1,4,4.513,6905.663,baseline,baseline,0.0,3.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81533,81533,3230,A_unfinetuned
yolo11n,2.6,2_FT,1,4,3.9,10187.61,baseline,baseline,0.0,3.01,0.0,0.0,0.0,0.0003,0.0006,0.0,0.0,81533,81532,1765,B_finetuned_unsupervised
yolo11n,2.6,2_FT,1,4,3.9,10187.61,count,bo_exploration,4.22,71.01,4.0,0.62,0.4295,0.7633,0.8188,0.7031,0.7565,81533,24211,12686,B_finetuned_unsupervised
yolo11n,2.6,2_FT,1,4,3.9,10187.61,count,bo_exploitation,6.82,71.11,4.0,0.62,0.4295,0.7633,0.8188,0.7031,0.7565,81533,24211,12686,B_finetuned_unsupervised
yolo11n,2.6,2_FT,1,4,3.9,10187.61,count,grid_search,4.57,71.75,4.0,0.5,0.4295,0.7633,0.8188,0.7031,0.7565,81533,24211,12686,B_finetuned_unsupervised
yolo11n,2.6,2_FT,1,4,3.9,10187.61,map,bo_exploration,14.45,17.34,2.0,-0.05,0.2708,0.5706,0.7188,0.4541,0.5566,81533,44511,14481,C_finetuned_supervised
yolo11n,2.6,2_FT,1,4,3.9,10187.61,map,bo_exploitation,17.69,27.06,3.0,0.08,0.4152,0.7387,0.7853,0.6728,0.7247,81533,26681,14996,C_finetuned_supervised
yolo11n,2.6,2_FT,1,4,3.9,10187.61,map,grid_search,21.11,28.93,4.0,0.0,0.4804,0.7928,0.8316,0.7273,0.7759,81533,22237,12011,C_finetuned_supervised
yolo11m,20.1,1_NOFT,1,4,11.028,22591.553,baseline,baseline,0.0,3.44,0.0,0.0,0.0001,0.0003,0.0006,0.0,0.0001,81533,81530,4786,A_unfinetuned
yolo11m,20.1,1_NOFT,1,4,11.028,22591.553,count,bo_exploration,4.71,36.86,2.0,0.62,0.2612,0.556,0.6877,0.4983,0.5779,81533,40906,18451,A_unfinetuned
yolo11m,20.1,1_NOFT,1,4,11.028,22591.553,count,bo_exploitation,5.48,69.57,4.0,0.5,0.4208,0.71,0.8046,0.6724,0.7326,81533,26709,13316,A_unfinetuned
yolo11m,20.1,1_NOFT,1,4,11.028,22591.553,count,grid_search,4.75,69.38,4.0,0.5,0.4208,0.71,0.8046,0.6724,0.7326,81533,26709,13316,A_unfinetuned
yolo11m,20.1,2_FT,1,4,9.05,17400.369,baseline,baseline,0.0,3.48,0.0,0.0,0.0001,0.0005,0.001,0.0,0.0001,81533,81529,4033,B_finetuned_unsupervised
yolo11m,20.1,2_FT,1,4,9.05,17400.369,count,bo_exploration,2.41,26.22,3.0,-0.1,0.3982,0.689,0.7653,0.6541,0.7054,81533,28203,16351,B_finetuned_unsupervised
yolo11m,20.1,2_FT,1,4,9.05,17400.369,count,bo_exploitation,6.88,50.35,3.0,0.62,0.3932,0.6944,0.782,0.6542,0.7124,81533,28195,14865,B_finetuned_unsupervised
yolo11m,20.1,2_FT,1,4,9.05,17400.369,count,grid_search,4.54,67.62,4.0,0.5,0.4073,0.7149,0.796,0.6746,0.7303,81533,26533,14099,B_finetuned_unsupervised
yolo11m,20.1,2_FT,1,4,9.05,17400.369,map,bo_exploration,12.49,35.13,2.0,0.43,0.2828,0.5783,0.7402,0.4883,0.5884,81533,41718,13975,C_finetuned_supervised
yolo11m,20.1,2_FT,1,4,9.05,17400.369,map,bo_exploitation,17.33,27.74,4.0,-0.07,0.4421,0.7341,0.8012,0.6918,0.7425,81533,25131,13996,C_finetuned_supervised
yolo11m,20.1,2_FT,1,4,9.05,17400.369,map,grid_search,20.38,27.75,4.0,0.0,0.4421,0.7341,0.8012,0.6918,0.7425,81533,25131,13996,C_finetuned_supervised
rtdetr-l,45.0,1_NOFT,1,2,37.189,20630.318,baseline,baseline,0.0,4.43,0.0,0.0,0.0,0.0002,0.0006,0.0,0.0001,81533,81530,4656,A_unfinetuned
rtdetr-l,45.0,1_NOFT,1,2,37.189,20630.318,count,bo_exploration,5.42,62.33,4.0,0.16,0.3316,0.6458,0.7735,0.6173,0.6866,81533,31204,14739,A_unfinetuned
rtdetr-l,45.0,1_NOFT,1,2,37.189,20630.318,count,bo_exploitation,9.06,113.87,4.0,0.58,0.3256,0.6496,0.7684,0.6386,0.6975,81533,29469,15692,A_unfinetuned
rtdetr-l,45.0,1_NOFT,1,2,37.189,20630.318,count,grid_search,6.25,110.09,4.0,0.5,0.3256,0.6496,0.7684,0.6386,0.6975,81533,29469,15692,A_unfinetuned
rtdetr-l,45.0,2_FT,1,2,33.889,19281.764,baseline,baseline,0.0,4.43,0.0,0.0,0.0001,0.0006,0.0012,0.0,0.0001,81533,81530,2573,B_finetuned_unsupervised
rtdetr-l,45.0,2_FT,1,2,33.889,19281.764,count,bo_exploration,9.07,108.26,4.0,0.62,0.4309,0.7619,0.8335,0.7098,0.7667,81533,23660,11562,B_finetuned_unsupervised
rtdetr-l,45.0,2_FT,1,2,33.889,19281.764,count,bo_exploitation,5.12,68.78,3.0,0.4,0.3994,0.7372,0.82,0.6744,0.7401,81533,26551,12070,B_finetuned_unsupervised
rtdetr-l,45.0,2_FT,1,2,33.889,19281.764,count,grid_search,6.14,107.91,4.0,0.5,0.4309,0.7619,0.8335,0.7098,0.7667,81533,23660,11562,B_finetuned_unsupervised
rtdetr-l,45.0,2_FT,1,2,33.889,19281.764,map,bo_exploration,21.81,35.12,3.0,-0.12,0.4004,0.726,0.8023,0.6667,0.7282,81533,27178,13396,C_finetuned_supervised
rtdetr-l,45.0,2_FT,1,2,33.889,19281.764,map,bo_exploitation,25.24,68.97,3.0,0.49,0.3994,0.7372,0.82,0.6744,0.7401,81533,26551,12070,C_finetuned_supervised
rtdetr-l,45.0,2_FT,1,2,33.889,19281.764,map,grid_search,25.79,41.97,4.0,0.0,0.4429,0.7695,0.8446,0.7042,0.768,81533,24120,10565,C_finetuned_supervised
yolo11n,2.6,1_NOFT,1,5,4.544,6838.219,baseline,baseline,0.0,3.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81863,81863,2625,A_unfinetuned
yolo11n,2.6,1_NOFT,1,5,4.544,6838.219,count,bo_exploration,3.69,75.05,4.0,0.45,0.4064,0.7425,0.8251,0.6904,0.7518,81863,25344,11982,A_unfinetuned
yolo11n,2.6,1_NOFT,1,5,4.544,6838.219,count,bo_exploitation,3.64,75.12,4.0,0.48,0.4064,0.7425,0.8251,0.6904,0.7518,81863,25344,11982,A_unfinetuned
yolo11n,2.6,1_NOFT,1,5,4.544,6838.219,count,grid_search,4.35,75.08,4.0,0.5,0.4064,0.7425,0.8251,0.6904,0.7518,81863,25344,11982,A_unfinetuned
yolo11n,2.6,2_FT,1,5,5.262,10555.609,baseline,baseline,0.0,3.04,0.0,0.0,0.0,0.0002,0.0005,0.0,0.0,81863,81862,2155,B_finetuned_unsupervised
yolo11n,2.6,2_FT,1,5,5.262,10555.609,count,bo_exploration,5.38,71.74,4.0,0.62,0.4089,0.7639,0.823,0.7095,0.7621,81863,23782,12489,B_finetuned_unsupervised
yolo11n,2.6,2_FT,1,5,5.262,10555.609,count,bo_exploitation,2.49,51.59,3.0,0.48,0.3596,0.7257,0.7969,0.6555,0.7193,81863,28201,13675,B_finetuned_unsupervised
yolo11n,2.6,2_FT,1,5,5.262,10555.609,count,grid_search,4.3,71.27,4.0,0.5,0.4089,0.7639,0.823,0.7095,0.7621,81863,23782,12489,B_finetuned_unsupervised
yolo11n,2.6,2_FT,1,5,5.262,10555.609,map,bo_exploration,11.18,26.5,3.0,-0.12,0.3844,0.7334,0.7958,0.6622,0.7229,81863,27651,13913,C_finetuned_supervised
yolo11n,2.6,2_FT,1,5,5.262,10555.609,map,bo_exploitation,12.32,28.8,4.0,-0.12,0.4658,0.7962,0.8369,0.7309,0.7803,81863,22026,11660,C_finetuned_supervised
yolo11n,2.6,2_FT,1,5,5.262,10555.609,map,grid_search,18.96,28.82,4.0,0.0,0.4658,0.7962,0.8369,0.7309,0.7803,81863,22026,11660,C_finetuned_supervised
yolo11m,20.1,1_NOFT,1,5,11.238,22549.562,baseline,baseline,0.0,3.43,0.0,0.0,0.0001,0.0004,0.0008,0.0,0.0001,81863,81860,3782,A_unfinetuned
yolo11m,20.1,2_FT,1,5,9.038,17002.022,baseline,baseline,0.0,3.36,0.0,0.0,0.0001,0.0005,0.001,0.0,0.0001,81863,81859,4044,B_finetuned_unsupervised
yolo11m,20.1,2_FT,1,5,9.038,17002.022,count,bo_exploration,5.2,51.79,3.0,0.62,0.3932,0.6945,0.7822,0.654,0.7124,81863,28322,14907,B_finetuned_unsupervised
yolo11m,20.1,2_FT,1,5,9.038,17002.022,count,bo_exploitation,2.31,17.8,2.0,-0.01,0.2964,0.5861,0.7626,0.4781,0.5877,81863,42728,12182,B_finetuned_unsupervised
yolo11m,20.1,2_FT,1,5,9.038,17002.022,count,grid_search,4.26,69.41,4.0,0.5,0.4075,0.715,0.7965,0.6747,0.7305,81863,26631,14113,B_finetuned_unsupervised
yolo11m,20.1,2_FT,1,5,9.038,17002.022,map,bo_exploration,13.23,26.2,3.0,-0.12,0.398,0.689,0.7656,0.654,0.7054,81863,28327,16387,C_finetuned_supervised
yolo11m,20.1,2_FT,1,5,9.038,17002.022,map,bo_exploitation,13.52,52.77,3.0,0.59,0.3932,0.6945,0.7822,0.654,0.7124,81863,28322,14907,C_finetuned_supervised
yolo11m,20.1,2_FT,1,5,9.038,17002.022,map,grid_search,15.78,28.04,4.0,0.0,0.4423,0.7345,0.8017,0.6921,0.7429,81863,25204,14016,C_finetuned_supervised
rtdetr-l,45.0,1_NOFT,1,3,36.861,21229.491,baseline,baseline,0.0,3.94,0.0,0.0,0.0001,0.0008,0.0018,0.0001,0.0001,81863,81857,3252,A_unfinetuned
rtdetr-l,45.0,1_NOFT,1,3,36.861,21229.491,count,bo_exploration,4.15,7.61,1.0,0.62,0.0012,0.0074,0.0149,0.0017,0.0031,81863,81723,9270,A_unfinetuned
rtdetr-l,45.0,1_NOFT,1,3,36.861,21229.491,count,bo_exploitation,8.94,68.78,3.0,0.62,0.3734,0.711,0.8145,0.6479,0.7217,81863,28827,12076,A_unfinetuned
rtdetr-l,45.0,1_NOFT,1,3,36.861,21229.491,count,grid_search,5.88,108.5,4.0,0.5,0.4011,0.7353,0.8244,0.687,0.7495,81863,25623,11980,A_unfinetuned
rtdetr-l,45.0,2_FT,1,3,29.676,21013.146,baseline,baseline,0.0,4.4,0.0,0.0,0.0002,0.0011,0.0022,0.0002,0.0003,81863,81848,6833,B_finetuned_unsupervised
rtdetr-l,45.0,2_FT,1,3,29.676,21013.146,count,bo_exploration,5.06,112.2,4.0,0.59,0.3857,0.6815,0.7896,0.6554,0.7162,81863,28211,14299,B_finetuned_unsupervised
rtdetr-l,45.0,2_FT,1,3,29.676,21013.146,count,bo_exploitation,2.94,22.11,2.0,0.03,0.215,0.4962,0.693,0.3917,0.5005,81863,49798,14208,B_finetuned_unsupervised
rtdetr-l,45.0,2_FT,1,3,29.676,21013.146,count,grid_search,6.07,109.32,4.0,0.5,0.3857,0.6815,0.7896,0.6554,0.7162,81863,28211,14299,B_finetuned_unsupervised
rtdetr-l,45.0,2_FT,1,3,29.676,21013.146,map,bo_exploration,17.16,43.92,4.0,-0.12,0.3923,0.685,0.7902,0.643,0.709,81863,29224,13978,C_finetuned_supervised
rtdetr-l,45.0,2_FT,1,3,29.676,21013.146,map,bo_exploitation,21.07,36.89,3.0,-0.07,0.3413,0.636,0.7337,0.6068,0.6642,81863,32192,18025,C_finetuned_supervised
rtdetr-l,45.0,2_FT,1,3,29.676,21013.146,map,grid_search,23.39,44.06,4.0,0.0,0.3923,0.685,0.7902,0.643,0.709,81863,29224,13978,C_finetuned_supervised
yolo11n,2.6,1_NOFT,1,6,4.475,6906.752,baseline,baseline,0.0,3.43,0.0,0.0,0.0004,0.0028,0.0056,0.0004,0.0007,81639,81610,5168,A_unfinetuned
yolo11n,2.6,1_NOFT,1,6,4.475,6906.752,count,bo_exploration,2.74,40.0,4.0,0.15,0.4098,0.7186,0.7983,0.682,0.7356,81639,25965,14067,A_unfinetuned
yolo11n,2.6,1_NOFT,1,6,4.475,6906.752,count,bo_exploitation,5.49,73.32,4.0,0.55,0.3915,0.7111,0.7686,0.6937,0.7292,81639,25010,17045,A_unfinetuned
yolo11n,2.6,1_NOFT,1,6,4.475,6906.752,count,grid_search,4.65,73.19,4.0,0.5,0.3915,0.7111,0.7686,0.6937,0.7292,81639,25010,17045,A_unfinetuned
yolo11n,2.6,2_FT,1,6,3.256,8690.831,baseline,baseline,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81639,81639,705,B_finetuned_unsupervised
yolo11n,2.6,2_FT,1,6,3.256,8690.831,count,bo_exploration,5.59,66.8,4.0,0.62,0.4459,0.7936,0.8496,0.722,0.7806,81639,22698,10433,B_finetuned_unsupervised
yolo11n,2.6,2_FT,1,6,3.256,8690.831,count,bo_exploitation,5.06,65.29,4.0,0.59,0.4459,0.7936,0.8496,0.722,0.7806,81639,22698,10433,B_finetuned_unsupervised
yolo11n,2.6,2_FT,1,6,3.256,8690.831,count,grid_search,4.1,65.2,4.0,0.5,0.4459,0.7936,0.8496,0.722,0.7806,81639,22698,10433,B_finetuned_unsupervised
yolo11n,2.6,2_FT,1,6,3.256,8690.831,map,bo_exploration,14.51,29.31,3.0,0.19,0.4085,0.7556,0.8581,0.6581,0.7449,81639,27909,8886,C_finetuned_supervised
yolo11n,2.6,2_FT,1,6,3.256,8690.831,map,bo_exploitation,10.71,26.29,4.0,-0.12,0.4868,0.818,0.8639,0.7429,0.7988,81639,20991,9552,C_finetuned_supervised
yolo11n,2.6,2_FT,1,6,3.256,8690.831,map,grid_search,17.41,26.3,4.0,0.0,0.4868,0.818,0.8639,0.7429,0.7988,81639,20991,9552,C_finetuned_supervised
yolo11m,20.1,1_NOFT,1,6,11.587,22599.466,baseline,baseline,0.0,3.7,0.0,0.0,0.0,0.0003,0.0008,0.0,0.0001,81639,81635,5036,A_unfinetuned
yolo11m,20.1,1_NOFT,1,6,11.587,22599.466,count,bo_exploration,2.96,33.78,3.0,0.35,0.37,0.6497,0.74,0.6329,0.6823,81639,29969,18152,A_unfinetuned
yolo11m,20.1,1_NOFT,1,6,11.587,22599.466,count,bo_exploitation,3.4,33.77,3.0,0.21,0.37,0.6497,0.74,0.6329,0.6823,81639,29969,18152,A_unfinetuned
yolo11m,20.1,1_NOFT,1,6,11.587,22599.466,count,grid_search,4.77,73.73,4.0,0.5,0.3969,0.6715,0.7782,0.6484,0.7074,81639,28701,15089,A_unfinetuned
yolo11m,20.1,2_FT,1,6,9.046,17965.771,baseline,baseline,0.0,3.26,0.0,0.0,0.0001,0.0005,0.001,0.0,0.0001,81639,81635,4039,B_finetuned_unsupervised
rtdetr-l,45.0,1_NOFT,1,4,36.961,20255.864,baseline,baseline,0.0,4.36,0.0,0.0,0.0001,0.0008,0.0015,0.0001,0.0002,81639,81629,6600,A_unfinetuned
rtdetr-l,45.0,2_FT,1,4,35.081,19282.198,baseline,baseline,0.0,4.12,0.0,0.0,0.0004,0.0025,0.0049,0.0004,0.0007,81639,81607,6520,B_finetuned_unsupervised
rtdetr-l,45.0,1_NOFT,1,5,36.933,20253.654,baseline,baseline,0.0,4.69,0.0,0.0,0.0002,0.0015,0.0033,0.0004,0.0006,81702,81673,8886,A_unfinetuned
rtdetr-l,45.0,1_NOFT,1,5,36.933,20253.654,count,bo_exploration,3.49,36.37,2.0,0.35,0.1691,0.431,0.5904,0.3784,0.4612,81702,50789,21450,A_unfinetuned
rtdetr-l,45.0,1_NOFT,1,5,36.933,20253.654,count,bo_exploitation,2.58,21.18,2.0,-0.03,0.1748,0.4282,0.6059,0.3576,0.4497,81702,52488,19004,A_unfinetuned
rtdetr-l,45.0,1_NOFT,1,5,36.933,20253.654,count,grid_search,6.34,112.79,4.0,0.5,0.3171,0.5966,0.7132,0.6112,0.6583,81702,31763,20085,A_unfinetuned
rtdetr-l,45.0,2_FT,1,5,28.427,19282.199,baseline,baseline,0.0,3.91,0.0,0.0,0.0,0.0002,0.0007,0.0,0.0,81702,81701,1358,B_finetuned_unsupervised
rtdetr-l,45.0,2_FT,1,5,28.427,19282.199,count,bo_exploration,2.66,43.5,2.0,0.48,0.2077,0.5464,0.6982,0.4573,0.5527,81702,44338,16147,B_finetuned_unsupervised
rtdetr-l,45.0,2_FT,1,5,28.427,19282.199,count,bo_exploitation,5.23,110.4,4.0,0.47,0.4407,0.7655,0.8424,0.7173,0.7748,81702,23095,10966,B_finetuned_unsupervised
rtdetr-l,45.0,2_FT,1,5,28.427,19282.199,count,grid_search,6.13,110.16,4.0,0.5,0.4407,0.7655,0.8424,0.7173,0.7748,81702,23095,10966,B_finetuned_unsupervised
rtdetr-l,45.0,2_FT,1,5,28.427,19282.199,map,bo_exploration,18.54,42.39,4.0,-0.11,0.4592,0.7792,0.8517,0.7153,0.7776,81702,23261,10173,C_finetuned_supervised
rtdetr-l,45.0,2_FT,1,5,28.427,19282.199,map,bo_exploitation,16.09,42.53,4.0,0.11,0.4592,0.7792,0.8517,0.7153,0.7776,81702,23261,10173,C_finetuned_supervised
rtdetr-l,45.0,2_FT,1,5,28.427,19282.199,map,grid_search,23.71,42.57,4.0,0.0,0.4592,0.7792,0.8517,0.7153,0.7776,81702,23261,10173,C_finetuned_supervised
