model,cat,strategy,divider,overlap,met,score
yolo11n,C_finetuned_supervised,bo_exploitation,3.0,0.03,time_inference,24.42
yolo11n,C_finetuned_supervised,grid_search,4.0,0.0,time_inference,26.49
yolo11m,A_unfinetuned,baseline,0.0,0.0,time_inference,3.79
yolo11m,A_unfinetuned,bo_exploration,4.0,0.61,time_inference,73.61
yolo11m,A_unfinetuned,bo_exploitation,4.0,0.54,time_inference,73.66
yolo11m,A_unfinetuned,grid_search,4.0,0.5,time_inference,73.51
yolo11m,B_finetuned_unsupervised,baseline,0.0,0.0,time_inference,3.33
yolo11m,B_finetuned_unsupervised,bo_exploration,3.0,0.62,time_inference,51.12
yolo11m,B_finetuned_unsupervised,bo_exploitation,3.0,0.51,time_inference,51.21
yolo11m,B_finetuned_unsupervised,grid_search,4.0,0.5,time_inference,69.48
yolo11m,C_finetuned_supervised,bo_exploration,4.0,0.2,time_inference,38.14
yolo11m,C_finetuned_supervised,bo_exploitation,3.0,-0.09,time_inference,26.23
yolo11m,C_finetuned_supervised,grid_search,4.0,0.0,time_inference,27.96
rtdetr-l,A_unfinetuned,baseline,0.0,0.0,time_inference,4.85
rtdetr-l,A_unfinetuned,bo_exploration,3.0,0.13,time_inference,46.25
rtdetr-l,A_unfinetuned,bo_exploitation,1.0,0.13,time_inference,9.33
rtdetr-l,A_unfinetuned,grid_search,4.0,0.5,time_inference,117.37
rtdetr-l,B_finetuned_unsupervised,baseline,0.0,0.0,time_inference,4.26
rtdetr-l,B_finetuned_unsupervised,bo_exploration,4.0,0.47,time_inference,117.37
rtdetr-l,B_finetuned_unsupervised,bo_exploitation,2.0,0.29,time_inference,37.46
rtdetr-l,B_finetuned_unsupervised,grid_search,4.0,0.5,time_inference,115.47
rtdetr-l,C_finetuned_supervised,bo_exploration,2.0,0.31,time_inference,37.88
rtdetr-l,C_finetuned_supervised,bo_exploitation,4.0,-0.08,time_inference,45.73
rtdetr-l,C_finetuned_supervised,grid_search,4.0,0.0,time_inference,45.04
yolo11n,A_unfinetuned,baseline,0.0,0.0,time_inference,3.04
yolo11n,A_unfinetuned,bo_exploration,4.0,0.62,time_inference,78.58
yolo11n,A_unfinetuned,bo_exploitation,3.0,0.62,time_inference,54.44
yolo11n,A_unfinetuned,grid_search,4.0,0.5,time_inference,78.95
yolo11n,B_finetuned_unsupervised,baseline,0.0,0.0,time_inference,3.94
yolo11n,B_finetuned_unsupervised,bo_exploration,3.0,0.62,time_inference,48.89
yolo11n,B_finetuned_unsupervised,bo_exploitation,3.0,0.62,time_inference,48.78
yolo11n,B_finetuned_unsupervised,grid_search,4.0,0.5,time_inference,67.95
yolo11n,C_finetuned_supervised,bo_exploration,2.0,0.27,time_inference,28.38
yolo11n,C_finetuned_supervised,bo_exploitation,4.0,-0.01,time_inference,27.73
yolo11n,C_finetuned_supervised,grid_search,4.0,0.0,time_inference,26.7
yolo11m,A_unfinetuned,baseline,0.0,0.0,time_inference,3.31
yolo11m,A_unfinetuned,bo_exploration,3.0,0.62,time_inference,56.94
yolo11m,A_unfinetuned,bo_exploitation,3.0,-0.01,time_inference,29.22
yolo11m,A_unfinetuned,grid_search,4.0,0.5,time_inference,76.06
yolo11m,B_finetuned_unsupervised,baseline,0.0,0.0,time_inference,3.29
yolo11m,B_finetuned_unsupervised,bo_exploration,4.0,0.56,time_inference,73.76
yolo11m,B_finetuned_unsupervised,bo_exploitation,3.0,0.39,time_inference,53.34
yolo11m,B_finetuned_unsupervised,grid_search,4.0,0.5,time_inference,72.36
yolo11m,C_finetuned_supervised,bo_exploration,2.0,0.29,time_inference,30.55
yolo11m,C_finetuned_supervised,bo_exploitation,4.0,-0.12,time_inference,29.32
yolo11m,C_finetuned_supervised,grid_search,4.0,0.0,time_inference,29.32
rtdetr-l,A_unfinetuned,baseline,0.0,0.0,time_inference,4.47
rtdetr-l,A_unfinetuned,bo_exploration,1.0,0.47,time_inference,8.59
rtdetr-l,A_unfinetuned,bo_exploitation,1.0,0.4,time_inference,8.52
rtdetr-l,A_unfinetuned,grid_search,4.0,0.5,time_inference,113.76
rtdetr-l,B_finetuned_unsupervised,baseline,0.0,0.0,time_inference,4.39
rtdetr-l,B_finetuned_unsupervised,bo_exploration,3.0,0.62,time_inference,75.36
rtdetr-l,B_finetuned_unsupervised,bo_exploitation,2.0,0.45,time_inference,47.56
rtdetr-l,B_finetuned_unsupervised,grid_search,4.0,0.5,time_inference,115.8
rtdetr-l,C_finetuned_supervised,bo_exploration,4.0,-0.12,time_inference,44.78
rtdetr-l,C_finetuned_supervised,bo_exploitation,2.0,0.16,time_inference,41.57
rtdetr-l,C_finetuned_supervised,grid_search,4.0,0.0,time_inference,44.61
yolo11n,A_unfinetuned,baseline,0.0,0.0,time_inference,2.79
yolo11n,A_unfinetuned,bo_exploration,2.0,0.62,time_inference,32.63
yolo11n,A_unfinetuned,bo_exploitation,4.0,0.3,time_inference,39.05
yolo11n,A_unfinetuned,grid_search,4.0,0.5,time_inference,71.74
yolo11n,B_finetuned_unsupervised,baseline,0.0,0.0,time_inference,3.14
yolo11n,B_finetuned_unsupervised,bo_exploration,4.0,0.62,time_inference,73.83
yolo11n,B_finetuned_unsupervised,bo_exploitation,4.0,0.62,time_inference,73.83
